Column 1,Project Admin,BIM/CAD Coordinator,Coordination Foreman,BIM/CAD Spooler,Project Coordinator,Shop Foreman,Shop Worker,QA/QC Worker,Shipping/Receiving,Project Admin Rationale,BIM/CAD Coordinator Rationale,Coordination Foreman Rationale,BIM/CAD Spooler Rationale,Project Coordinator Rationale,Shop Foreman Rationale,Shop Worker Rationale,QA/QC Worker Rationale,Shipping/Receiving Rationale,Description
Attachments (Package),True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,"Toolbar permission for Actions and Window Select.
Toolbar permission for Actions > Attachment."
Markups (Package),True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Reports Package
Create & Edit Package,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Reports Package
Delete Package,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Reports Package
View (Other),True,False,False,False,False,False,False,True,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to view scanner tab
CAD Sheet,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Access to Cad sheet deatils tab
Markups (CAD),True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
Create & Edit (CAD),True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to make and edit supplier links
Delete (CAD),True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The delete tag icon (red x) will display within a item number or tag. When the mouse hovers over the item number or tag the user will be able to click the icon and delete the item number or tag.
View (CAD),True,False,False,False,False,False,False,True,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to view scanner tab
Tasks,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to set station tasks
Tracking,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use tracking Filter
Viewer (Global),True,True,True,True,True,False,False,True,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to view deliverables
Change Model View,True,True,True,True,True,False,False,True,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to change model view from drop down
Search/Scan Selector,True,True,True,True,True,True,True,True,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Shop management feature needed by Shop Foreman,Shop execution feature needed by Shop Worker,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,ALL Scan
Toolbar,True,True,True,True,True,True,True,True,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Shop management feature needed by Shop Foreman,Shop execution feature needed by Shop Worker,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,ALL Packages Details Viewer Toolbar
Dimensioning,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Packages Details Viewer Toolbar Dimensioning
Auto-Dimension,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Run Auto-Dimension Routine tool will display and when clicked will dimension the parts in the viewer.
Bulk Delete,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Bulk Edit - Delete All Item Numbers and Tags tool will display and when clicked any existing numbers or tags will be deleted.
Delete Dimension,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Delete Dimension icon (red x) will display within a dimension. When the mouse hovers over the dimension the user will be able to click the icon and delete the dimension.
Display,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see status board under packages
Move,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The move tag icon (blue +) will display within a item number or tag. When the mouse hovers over the item number or tag the user will be able to click the icon and move the item number or tag.
Place Dimensions,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Place Dimension flyout will display.
Display Mode,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Packages Details Viewer Toolbar Display Mode
Areas,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Projects Areas
Assemblies (Nav),True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Assemblies Filter
Categories,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Categories Filter
Containers (Nav),True,False,False,False,False,True,True,True,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Shop management feature needed by Shop Foreman,Shop execution feature needed by Shop Worker,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to see and use Container Filter
Tracking (Nav),True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use tracking Filter
Filters,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Packages Details Viewer Toolbar Filters
Areas,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Projects Areas
Categories,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Categories Filter
Company,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Company Filter
Containers (Dashboard),True,True,True,True,True,True,True,True,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Shop management feature needed by Shop Foreman,Shop execution feature needed by Shop Worker,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to see and use Container Filter
Levels,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Levels Filter
Packages (Nav),True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Packages tab in Display Mode
References,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Packages Details Viewer Toolbar Filters References
Save,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to set and save refrences
View (Views),True,False,False,False,False,False,False,True,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to view scanner tab
Systems,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Systems Filter
Tracking (Global),True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use tracking Filter
Grid Offset,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
Numbering,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Packages Details Viewer Toolbar Numbering
Bulk Delete (Nav),True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Bulk Edit - Delete All Item Numbers and Tags tool will display and when clicked any existing numbers or tags will be deleted.
Edit Part Number,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to make and edit supplier links
Tracking,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use tracking Filter
Grid Offset Measurement and Grid Display,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use grid display and run offset measurements
Numbering,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Packages Details Viewer Toolbar Numbering
Bulk Delete,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Bulk Edit - Delete All Item Numbers and Tags tool will display and when clicked any existing numbers or tags will be deleted.
Edit STRATUS.Part.Number,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to make and edit supplier links
Renumber,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Renumber - All Item Numbers tool will display and when clicked any existing item numbers will be renumbered.
Tagging,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
Bulk Create,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
Bulk Delete,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Bulk Edit - Delete All Item Numbers and Tags tool will display and when clicked any existing numbers or tags will be deleted.
Custom Tags,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Custom Tags tool will display and when clicked the Annotation Tags dialog will display.
Delete,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The delete tag icon (red x) will display within a item number or tag. When the mouse hovers over the item number or tag the user will be able to click the icon and delete the item number or tag.
Display,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see status board under packages
Move,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The move tag icon (blue +) will display within a item number or tag. When the mouse hovers over the item number or tag the user will be able to click the icon and move the item number or tag.
Properties,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use propteries tab in toolbar
Spool Checker,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use spool checker
Company Filters,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Company Filters
Default,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Company Filters for Category
CSG-E-Cable Tray,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
CSG-E-CT - Fittings,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
CSG-E-CT - Straights,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
